date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:10	4961/4961	---M-Z	200	added ('OK')	text/html	etag:W/%2264eef5a2-1361%22	https://cukil69.github.io/btw-game/	C:/Users/62877/Downloads/btw%20game/cukil69.github.io/btw-game/index.html	(from )
14:48:10	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2266611173-239b%22	https://cukil69.github.io/robots.txt		(from )
14:48:10	2305/2305	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2264eef5a2-901%22	https://cukil69.github.io/btw-game/TemplateData/favicon.ico	C:/Users/62877/Downloads/btw%20game/cukil69.github.io/btw-game/TemplateData/favicon.ico	(from https://cukil69.github.io/btw-game/)
14:48:10	1395/1395	---M-Z	200	added ('OK')	text/css	etag:W/%2264eef5a2-573%22	https://cukil69.github.io/btw-game/TemplateData/style.css	C:/Users/62877/Downloads/btw%20game/cukil69.github.io/btw-game/TemplateData/style.css	(from https://cukil69.github.io/btw-game/)
14:48:11	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2006%20Jun%202024%2007:45:52%20GMT	https://cukil69.github.io/btw-game/Build	C:/Users/62877/Downloads/btw%20game/cukil69.github.io/btw-game/Build	(from https://cukil69.github.io/btw-game/)
14:48:11	3042/3042	---M--	200	added ('OK')	image/png	etag:%2264eef5a2-be2%22	https://cukil69.github.io/btw-game/TemplateData/unity-logo-dark.png	C:/Users/62877/Downloads/btw%20game/cukil69.github.io/btw-game/TemplateData/unity-logo-dark.png	(from https://cukil69.github.io/btw-game/TemplateData/style.css)
14:48:12	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://cukil69.github.io/btw-game/Build/	C:/Users/62877/Downloads/btw%20game/cukil69.github.io/btw-game/Build/index.html	(from https://cukil69.github.io/btw-game/)
14:48:15	96/96	---M--	200	added ('OK')	image/png	etag:%2264eef5a2-60%22	https://cukil69.github.io/btw-game/TemplateData/progress-bar-empty-dark.png	C:/Users/62877/Downloads/btw%20game/cukil69.github.io/btw-game/TemplateData/progress-bar-empty-dark.png	(from https://cukil69.github.io/btw-game/TemplateData/style.css)
14:48:15	74/74	---M--	200	added ('OK')	image/png	etag:%2264eef5a2-4a%22	https://cukil69.github.io/btw-game/TemplateData/progress-bar-full-dark.png	C:/Users/62877/Downloads/btw%20game/cukil69.github.io/btw-game/TemplateData/progress-bar-full-dark.png	(from https://cukil69.github.io/btw-game/TemplateData/style.css)
14:48:15	2947/2947	---M--	200	added ('OK')	image/png	etag:%2264eef5a2-b83%22	https://cukil69.github.io/btw-game/TemplateData/webgl-logo.png	C:/Users/62877/Downloads/btw%20game/cukil69.github.io/btw-game/TemplateData/webgl-logo.png	(from https://cukil69.github.io/btw-game/TemplateData/style.css)
14:48:16	175/175	---M--	200	added ('OK')	image/png	etag:%2264eef5a2-af%22	https://cukil69.github.io/btw-game/TemplateData/fullscreen-button.png	C:/Users/62877/Downloads/btw%20game/cukil69.github.io/btw-game/TemplateData/fullscreen-button.png	(from https://cukil69.github.io/btw-game/TemplateData/style.css)
